name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at,prefecture,category,is_new
防衛省(MOD) 海上自衛隊 航空補給処,29478,,,0,,https://www2.njss.info/organizations/proc/90,2026-08-02,千葉県,国・省庁,0
札幌市役所,29464,,,0,,https://www2.njss.info/organizations/proc/1704,2026-08-02,北海道,地方公共団体,0
内閣府(CAO),28987,,,0,,https://www2.njss.info/organizations/proc/358,2026-08-02,東京都,国・省庁,0
松江市役所,28547,,,0,,https://www2.njss.info/organizations/proc/4744,2026-08-02,島根県,地方公共団体,0
国土交通省(MLIT) 大阪航空局,28484,,,0,,https://www2.njss.info/organizations/proc/510,2026-08-02,大阪府,国・省庁,0
経済産業省(METI),27908,,,0,,https://www2.njss.info/organizations/proc/738,2026-08-02,東京都,国・省庁,0
農林水産省(MAFF) 林野庁(FA) 東北森林管理局,27759,,,0,,https://www2.njss.info/organizations/proc/274,2026-08-02,秋田県,国・省庁,0
大阪市役所 消防局,26913,,,0,,https://www2.njss.info/organizations/proc/1835,2026-08-02,大阪府,地方公共団体,0
葛飾区役所,26884,,,0,,https://www2.njss.info/organizations/proc/1851,2026-08-02,東京都,地方公共団体,0
国土交通省(MLIT) 海上保安庁,26638,,,0,,https://www2.njss.info/organizations/proc/552,2026-08-02,東京都,国・省庁,0
足立区役所,26613,,,0,,https://www2.njss.info/organizations/proc/1850,2026-08-02,東京都,地方公共団体,0
前橋市役所,26531,,,0,,https://www2.njss.info/organizations/proc/1720,2026-08-02,群馬県,地方公共団体,0
金沢市役所,26289,,,0,,https://www2.njss.info/organizations/proc/1725,2026-08-02,石川県,地方公共団体,0
春日井市役所,26181,,,0,,https://www2.njss.info/organizations/proc/1762,2026-08-02,愛知県,地方公共団体,0
防衛省(MOD) 海上自衛隊 補給本部,25712,,,0,,https://www2.njss.info/organizations/proc/83,2026-08-02,東京都,国・省庁,0
上越市役所,25635,,,0,,https://www2.njss.info/organizations/proc/1784,2026-08-02,新潟県,地方公共団体,0
広島市役所 水道局,25541,,,0,,https://www2.njss.info/organizations/proc/4357,2026-08-02,広島県,地方公共団体,0
伊勢市役所,25540,,,0,,https://www2.njss.info/organizations/proc/4731,2026-08-02,三重県,地方公共団体,0
大阪市高速電気軌道株式会社〈Osaka Metro〉,25367,,,0,,https://www2.njss.info/organizations/proc/1825,2026-08-02,大阪府,地方公共団体,1
理化学研究所,25296,,,0,,https://www2.njss.info/organizations/proc/236,2026-08-02,埼玉県,国・省庁,0
長野県警察本部,24972,,,0,,https://www2.njss.info/organizations/proc/335,2026-08-02,長野県,地方公共団体,0
総務省(MIC),24392,,,0,,https://www2.njss.info/organizations/proc/384,2026-08-02,東京都,国・省庁,0
水資源機構,24340,,,0,,https://www2.njss.info/organizations/proc/457,2026-08-02,埼玉県,国・省庁,0
防衛省(MOD) 海上自衛隊 艦船補給処,24235,,,0,,https://www2.njss.info/organizations/proc/89,2026-08-02,神奈川県,国・省庁,0
国土交通省(MLIT) 東京航空局,24039,,,0,,https://www2.njss.info/organizations/proc/509,2026-08-02,東京都,国・省庁,0
佐世保市役所,23586,,,0,,https://www2.njss.info/organizations/proc/1773,2026-08-02,長崎県,地方公共団体,0
日本下水道事業団,23388,,,0,,https://www2.njss.info/organizations/proc/551,2026-08-02,東京都,国・省庁,0
農林水産省(MAFF) 林野庁(FA) 中部森林管理局,23336,,,0,,https://www2.njss.info/organizations/proc/268,2026-08-02,長野県,国・省庁,0
姫路市役所,23219,,,0,,https://www2.njss.info/organizations/proc/1734,2026-08-02,兵庫県,地方公共団体,0
富士市役所,23193,,,0,,https://www2.njss.info/organizations/proc/1760,2026-08-02,静岡県,地方公共団体,0
最高裁判所 大阪高等裁判所 大阪地方裁判所,22997,,,0,,https://www2.njss.info/organizations/proc/3941,2026-08-02,大阪府,国・省庁,0
札幌市役所 水道局,22973,,,0,,https://www2.njss.info/organizations/proc/4181,2026-08-02,北海道,地方公共団体,0
四日市市役所,22837,,,0,,https://www2.njss.info/organizations/proc/1763,2026-08-02,三重県,地方公共団体,0
大津市役所,22810,,,0,,https://www2.njss.info/organizations/proc/1731,2026-08-02,滋賀県,地方公共団体,0
大阪府警察本部,22475,,,0,,https://www2.njss.info/organizations/proc/326,2026-08-02,大阪府,地方公共団体,0
川口市役所,22045,,,0,,https://www2.njss.info/organizations/proc/1781,2026-08-02,埼玉県,地方公共団体,0
江東区役所,21982,,,0,,https://www2.njss.info/organizations/proc/1801,2026-08-02,東京都,地方公共団体,0
